Date,Manhattan crime count,Brooklyn crime count,Bronx crime count,Queens crime count,Staten Island crime count
2013-09,1,2,,2,
2013-10,7,3,5,8,
2013-11,8904,11671,8256,8269,1864
2013-12,9459,11873,8280,8199,1875
2014-01,8955,11574,8427,8130,1798
2014-02,8100,10419,7191,7181,1528
2014-03,9386,12318,8795,8503,1893
2014-04,9132,12196,8682,8037,1970
2014-05,10343,13461,9301,9062,2087
2014-06,9922,12794,9168,8725,2160
2014-07,10335,13871,9635,9085,1987
2014-08,10111,13568,9861,9084,2002
2014-09,9979,13096,9574,8583,2097
2014-10,10110,13654,9608,8924,1985
2014-11,8868,11200,8362,7628,1747
2014-12,8019,10686,7333,7483,1606
2015-01,8149,10440,7327,7061,1556
2015-02,7717,9111,6815,6535,1362
2015-03,8949,11417,8226,7499,1932
2015-04,9608,11896,8599,7939,1804
2015-05,9817,12834,9348,8319,2002
2015-06,9795,12727,8899,8294,1947
2015-07,10470,13297,9785,8791,2036
2015-08,10356,13705,10157,8854,2024
2015-09,9929,12444,9579,8102,1888
2015-10,9825,12103,9217,8151,1954
2015-11,9195,11742,8548,7727,1783
2015-12,9307,11546,8499,7783,1856
